custo_medio_venda;faturamento_margem_lucro_liquido;percentual;preco_medio_venda;vei_peso_liquido;vei_produto_codigo_interno;vei_produto_nome;vei_produto_sku;vei_produto_unidade;vei_quantidade;vei_valor_total
4,89;29,712;0,09;6,343;0;7813;GATORADE MORANGO MARACUJA 500ML;;UN;17;107,83
12,09;77,75;0,09;21,49;0;3847;RAID APARELHO+REFIL SEM CHEIRO 45 NOITES;;UN;5;107,45
4,83;38,251;0,09;6,678;0;8658;GATORADE UVA 500ML;;UN;16;106,84
0,99;51,515;0,09;1,5;0;15206;BOMBOM SONHO DE VALSA 20G;;UN;71;106,5
1,05;90,476;0,09;2;0;6132;AGUA MINERAL COM GAS CRISTALINA 500g;;UN;53;106
7,333;80,566;0,09;13,24;0;6952;AGUA DE COCO DUCOCO 1L;;UN;8;105,92
3,2;56,25;0,09;5;0;18053;RUPPAO PRESUNTO 140g;;UN;21;105
4,99;50,301;0,09;7,5;0;14933;PRINGLES MOSTARDA E MEL 158g;;UN;14;105
10,5;42,762;0,09;14,99;0;8296;AGUA MINERAL 20LTS - NO GALAO;;UN;7;104,93
1,388;44,837;0,09;2,01;0;2029;BISCOITO WAFER RANCHEIRO CHOCOLATE 78G;;UN;52;104,5
10,13;28,233;0,09;12,99;0;78983792;KETCHUP  SACHE 7 g  FUGINI;;UN;8;103,92
6,64;20,331;0,09;7,99;0;17726;SKOL BEATS SENSES AZUL  LONG NECK;;UN;13;103,87
4,59;41,394;0,09;6,49;0;92;PAPEL HIGIENICO TERNURA PREMIUM COM 4;;UN;16;103,84
3,5;71,429;0,09;6;0;78983643;CANIVETE -BUG;;UN;17;102
2,1;42,381;0,09;2,99;0;26253235898;PAÇOCAO  DE AMENDOIM RICCO UN;1133;UN;34;101,66
13,74;5,459;0,09;14,49;0;19303;QUEIJO MUSSARELA  PIRACANJUBA  TRANÇA ;;UN;7;101,43
1,75;42,857;0,09;2,5;0;1850;TRIDENT HORTELA/MENTA 5UN DE 8G;;UN;40;100
32,67;53,015;0,09;49,99;0;4740;VODKA SMIRNOFF 998ML;;UN;2;99,98
3;66,667;0,09;5;0;26253235590;CASTANHA DE CAJU TORRADO;;UN;20;99,95
